,x1,x2,x3,x4,x5,x6,x7,x8,y,prob
0,16.0,8.0,15.0,16.0,0.0,1.0,5.0,4.0,0,0.48174411537958023
1,2.0,18.0,9.0,10.0,0.0,1.0,1.0,2.0,0,0.508791293722807
2,14.0,17.0,0.0,11.0,0.0,1.0,2.0,0.0,0,0.4888006845873564
3,10.0,1.0,14.0,1.0,1.0,1.0,1.0,4.0,0,0.503273931006205
4,8.0,9.0,5.0,2.0,0.0,0.0,4.0,2.0,0,0.4937373760989748
5,9.0,3.0,15.0,3.0,0.0,0.0,4.0,8.0,0,0.5018995622123771
6,3.0,15.0,14.0,12.0,1.0,1.0,5.0,8.0,0,0.506901305366039
7,11.0,13.0,12.0,8.0,1.0,1.0,1.0,9.0,0,0.5135561573220555
8,2.0,8.0,18.0,15.0,1.0,0.0,1.0,8.0,0,0.5229160015926615
9,6.0,2.0,10.0,9.0,0.0,1.0,1.0,9.0,0,0.5119545970214991
10,2.0,12.0,12.0,2.0,0.0,1.0,2.0,3.0,0,0.5062145767519376
11,14.0,4.0,7.0,7.0,0.0,0.0,3.0,9.0,0,0.5011813332297342
12,3.0,14.0,7.0,2.0,0.0,0.0,1.0,3.0,0,0.5122247661035279
13,16.0,13.0,16.0,3.0,0.0,1.0,4.0,0.0,0,0.48097449368725614
14,3.0,4.0,10.0,4.0,0.0,1.0,4.0,2.0,0,0.49405321393630786
15,19.0,6.0,16.0,17.0,1.0,1.0,0.0,5.0,0,0.4997314143329447
16,13.0,14.0,2.0,5.0,0.0,0.0,5.0,1.0,0,0.48465550877683294
17,19.0,9.0,12.0,18.0,0.0,0.0,1.0,7.0,0,0.5006325701321909
18,19.0,4.0,11.0,18.0,0.0,0.0,3.0,0.0,0,0.48051794169291606
19,10.0,14.0,4.0,16.0,0.0,1.0,5.0,1.0,0,0.4834827875961219
20,5.0,16.0,18.0,10.0,1.0,1.0,5.0,8.0,0,0.5057207457928439
21,19.0,5.0,8.0,3.0,1.0,1.0,1.0,8.0,0,0.5014694761894729
22,10.0,13.0,10.0,5.0,0.0,1.0,2.0,3.0,0,0.49806687333326005
23,6.0,6.0,5.0,11.0,0.0,1.0,1.0,8.0,0,0.510847644218161
24,4.0,1.0,4.0,12.0,0.0,1.0,2.0,4.0,0,0.5010785766880838
25,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0,0.5020748165701218
26,17.0,17.0,18.0,18.0,0.0,0.0,3.0,6.0,0,0.49716936061896255
27,15.0,19.0,6.0,2.0,0.0,1.0,2.0,9.0,0,0.504821230262047
28,0.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,0,0.5054682491950709
29,2.0,15.0,14.0,3.0,1.0,1.0,2.0,0.0,0,0.5052273921680882
30,13.0,17.0,12.0,12.0,1.0,1.0,5.0,7.0,0,0.4955945512549874
31,14.0,0.0,4.0,0.0,0.0,1.0,3.0,9.0,0,0.4967386192081244
32,7.0,5.0,2.0,13.0,0.0,1.0,1.0,9.0,0,0.5107961059497393
33,15.0,7.0,14.0,12.0,1.0,0.0,4.0,2.0,0,0.4892340073037957
34,11.0,18.0,18.0,4.0,0.0,1.0,3.0,3.0,0,0.49601212214764
35,13.0,14.0,15.0,10.0,1.0,1.0,4.0,8.0,0,0.5001840804963853
36,15.0,15.0,16.0,7.0,1.0,0.0,3.0,8.0,0,0.5056835573390778
37,14.0,0.0,12.0,13.0,0.0,1.0,2.0,9.0,0,0.49983549060484306
38,9.0,1.0,19.0,3.0,0.0,1.0,3.0,8.0,0,0.5015274315034506
39,18.0,13.0,6.0,7.0,0.0,0.0,5.0,9.0,0,0.4930331096502093
40,14.0,11.0,1.0,4.0,1.0,1.0,1.0,2.0,0,0.49744338308065766
41,18.0,2.0,11.0,10.0,1.0,0.0,5.0,8.0,0,0.49134799445379007
42,16.0,19.0,10.0,15.0,0.0,0.0,4.0,6.0,0,0.49489544374786987
43,7.0,18.0,16.0,11.0,1.0,0.0,4.0,6.0,0,0.5075585570275432
